Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Asia (IDA & IBRD),TSA,0,0.473625933600603,12.8209368884113,14.1901347830645,16.1929624275439,18.0652407347333,20.1829855853889,27.9665269357925,39.0606430431752,42.8506476935232,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa,SSF,0,0.513706974723954,13.2,15.5,17.4,19.7,22.2,25.3,28.6,31.4,33.6,36.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa (excluding high income),SSA,0,0.512856940074433,13.3930118854558,16.2260981066249,18.2033384880882,19.992086387793,22.7323983584918,24.5505017992891,28.3739076668205,31.1036889526801,34.2083412575151,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,0,0.513706974723954,13.2,15.5,17.4,19.7,22.2,25.3,28.6,31.4,33.6,36.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Upper middle income,UMC,0,2.30755128006077,44.3,47.9,51.4,54.7,59.5,64.6,70.3,73.9,76.6,80
Individuals using the Internet (% of population),IT.NET.USER.ZS,World,WLD,0.0488246930836708,6.72028803786027,37.5,39.9,42.9,45.4,48.6,53.2,59.3,62.2,64.4,67.4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,
